## 01b | Names on the door | ドアの なまえ | Upstairs corridor, morning
@ Before breakfast, Aoi studies old name labels on the bedroom doors. Haru has added a ridiculous label to the bathroom. Misaki brings a laundry basket. Aoi's phone has no messages from the year she remembers. | あさごはんの まえです。ドアに なまえが あります。おかあさんは せんたくものを もちます。あおいは でんわを みます。あの としの メッセージは ありません。
みさき|いいですね。あおい タオルです。|Good. The blue towel.
あおい|しろい タオルじゃありませんね。|Not the white towel, right?
みさき|はい。しろは キッチンです。|Right. White is for the kitchen.
あおい|この タオルは わたしの しごとです。|This towel is my job.
みさき|その とおり。いすも おねがいします。|Exactly. The chairs too, please.
あおい|はい。いすは いつもの ばしょです。|Yes. The chairs go in their usual places.
@ Aoi walks the route with a full tray. She spills a little water at the blind corner, then shifts a small menu stand rather than a chair. The mirror behind the counter now gives her a narrow view of the side entrance. | あおいは トレーを もちます。かどで みずが すこし こぼれます。あおいは メニューを うごかします。カウンターの かがみに、よこの ドアが みえます。
! G010 G023 G024 G017 G018 G019
? Why can Aoi not simply block the aisle? | The cafe still needs safe, ordinary service routes.
? What gives her a view of the side door? | Moving the menu stand exposes the counter mirror's reflection.

## 04b | A card with no name | なまえの ない カード | Counter, after Ren leaves
@ Aoi wants her mother to explain the damaged logo. Misaki answers practical questions about the cafe's cards but avoids the mark itself. The card contains a pressure indentation on the reverse, as if someone wrote on paper above it. | あおいは カードを おかあさんに みせます。おかあさんは ほかの カードを だします。ふしぎな カードの うらに、ちいさい あとが あります。
あおい|おかあさん。この カードは ここのですか。|Mom. Is this one of our cards?
みさき|はい。おみせの カードです。|Yes. It's a cafe card.
あおい|この カップの えも ここのですか。|Is this cup drawing ours too?
みさき|そうです。むかしの わたしの えです。|It is. It's an old drawing of mine.
あおい|おかあさんの え。しりませんでした。|Your drawing. I didn't know.
みさき|あなたは ちいさかったです。|You were little.
あおい|でも、この カップは われています。|But this cup is broken.
みさき|カードは ふるいです。きずも あります。|The card is old. It has scratches too.
あおい|きずは カップの ここだけです。|The scratch is only on this part of the cup.
みさき|そうですね。ここだけですね。|That's true. Just there.
あおい|なまえは ありません。でんわも ありません。|There's no name. No phone number either.
みさき|おみせの なまえは おもてに あります。|The cafe name is on the front.
あおい|この ひとの なまえです。|I mean this person's name.
みさき|だれの カードか、わかりません。|I don't know whose card it is.
あおい|おかあさんの カードじゃありませんか。|Isn't it your card?
みさき|わたしの カードは こっちです。|My cards are these ones.
あおい|たくさん ありますね。ぜんぶ おなじですか。|There are a lot. Are they all the same?
みさき|おもては おなじです。うらは べつです。|The fronts are the same. The backs vary.
あおい|こちらは スタンプですね。|This one has stamps.
みさき|はい。あちらは メッセージの カードです。|Yes. Those are message cards.
あおい|これは メッセージの カードですか。|Is this a message card?
みさき|そうですね。でも、メッセージは ありません。|Yes. But there's no message.
あおい|えが メッセージです。たぶん。|The drawing is the message. Maybe.
みさき|あおい。こわい ゆめと、これは べつです。|Aoi. Your scary dream and this are separate things.
あおい|べつですか。ほんとうに？|Are they separate? Really?
みさき|ここには おきゃくさんも きます。|Customers come here too.
あおい|はい。おきゃくさんの カードかも。|Yes. Maybe it's a customer's card.
みさき|まず、おみせです。カードは あとです。|First, the cafe. The card comes later.
あおい|じゃ、これは ここに おきます。|Then I'll put this here.
みさき|レジの となりは だめです。|Not next to the till.
あおい|どうしてですか。ほかの カードも ここです。|Why? The other cards are here too.
みさき|おきゃくさんの ものかも しれません。|It might belong to a customer.
あおい|わかりました。わたしが もちます。|Understood. I'll keep it.
みさき|なくさないで くださいね。|Please don't lose it.
あおい|はい。この カードは たいせつです。|Yes. This card is important.
みさき|あなたも たいせつですよ。カードだけじゃありません。|You matter too. It isn't just the card.
@ Aoi tilts the card toward the window. The indentation resembles a curved digit, but she cannot read a full number. She does not shade it in or invent a message. Misaki interrupts with the opening bell. | あおいは まどの ひかりで カードを みます。うらに すうじの ような あと。でも、はっきり しません。おみせの ベルが なります。
! G001 G002 G006 G008 G009 G010
? Who drew the cafe logo? | Misaki, when Aoi was small.
? Can the indentation be read yet? | No. Only a partial shape is visible.

## 05b | The first change | はじめての ちがい | Front pavement, after opening
@ A loose flowerpot stands on the cafe step. In Aoi's memory, Ren trips over it and argues with Rina. Aoi moves it before his bicycle returns. Instead, a customer's umbrella knocks a different pot; Rina catches it and splashes herself. | みせの だんに はちが あります。あおいは はちを うごかします。れんの じてんしゃは ぶじです。でも、おきゃくさんの かさが べつの はちに あたります。りなは はちを つかみます。
りな|あ、つめたい！|Oh, cold!
あおい|りなさん。だいじょうぶですか。|Rina. Are you all right?
りな|わたしは だいじょうぶです。くつは だめです。|I'm all right. My shoes aren't.
あおい|タオルは ここに あります。|There's a towel here.
りな|ありがとう。あおい タオルですね。|Thanks. The blue towel.
あおい|いえ、これは べつの タオルです。くつのです。|No, this is a different towel. For shoes.
りな|タオルも いろいろ ですね。|There are all kinds of towels.
れん|すみません。ぼくの じてんしゃですか。|Sorry. Was it my bicycle?
あおい|いいえ。じてんしゃじゃありません。|No. It wasn't the bicycle.
りな|おきゃくさんの かさです。わざとじゃありません。|A customer's umbrella. It wasn't on purpose.
れん|よかった。あ、よくないですね。くつが。|Good. Oh, not good. Your shoes.
りな|くつは ふるいです。だいじょうぶです。|The shoes are old. It's all right.
あおい|はちは あそこです。みちの そとです。|The pot goes over there. Out of the path.
れん|あそこに おきますね。|I'll put it over there.
あおい|ありがとうございます。そこが いいです。|Thank you. That's a good place.
りな|こちらも おねがいします。おもいです。|This one too, please. It's heavy.
れん|はい。これは おおきいですね。|Yes. This one is big.
あおい|わたしも もちます。いっしょに。|I'll carry it too. Together.
りな|きょうは いい チームですね。|We're a good team today.
あおい|チーム……。|A team...
れん|あおいさん。こちらは もう だいじょうぶです。|Aoi. This one's all right now.
あおい|はい。すみません。|Yes. Sorry.
りな|どうして はちの ばしょを？|Why did you move the pot?
あおい|あぶない ばしょでした。|It was in a dangerous place.
れん|ほんとうですね。ぼくの じてんしゃは おおきいです。|That's true. My bicycle is large.
りな|あおいちゃんの おかげです。|Thanks to Aoi.
あおい|でも、くつは ぬれました。|But your shoes got wet.
りな|くつだけです。わたしは だいじょうぶ。|Just my shoes. I'm fine.
あおい|けんかも ありませんね。|And there's no argument.
れん|けんか？ だれと だれですか。|An argument? Between whom?
あおい|いえ。なんでも ありません。|No. It's nothing.
りな|れんくんとは パンの けんかだけです。|Ren and I only argue about bread.
れん|さいごの パンは、いつも りなさんです。|Rina always gets the last piece.
りな|はやい ひとの パンです。|It belongs to the quick person.
あおい|きょうは ふたりぶん ありますよ。|There is enough for both of you today.
れん|じゃ、けんかは ありません。|Then there won't be an argument.
@ Aoi looks at the unbroken pot, then at Rina laughing with Ren. The remembered argument has not happened, but the water spill is new. Changing a small cause has changed more than one outcome. | はちは われていません。りなと れんは わらいます。あおいの ゆめとは ちがいます。でも、くつの みずも ゆめには ありませんでした。
! G001 G002 G010 G022 G023 G024
? What did Aoi successfully prevent? | Ren's remembered collision with the flowerpot.
? Why does this also make her memories less reliable? | A different accident and a friendly interaction now replace the remembered sequence.

## 06b | The friend who came | ともだちの テーブル | Cafe window table, late morning
@ Yui arrives with a notebook and sits at the window table. Aoi brings bread before asking for an order. Yui recognizes the gesture as an apology but refuses to let it replace an honest conversation. | ゆいは ノートを もって きます。まどの テーブルに すわります。あおいは パンを もちます。ゆいは パンと あおいの かおを みます。
ゆい|こんにちは。ほんとうに ここですね。|Hi. You really are here.
あおい|いらっしゃいませ。きて くれて ありがとう。|Welcome. Thanks for coming.
ゆい|きょうは おきゃくさんですか。ともだちですか。|Am I a customer today or a friend?
あおい|ともだちです。パンも あります。|A friend. There's bread too.
ゆい|パンは うれしいです。でも、はなしも あります。|I'm glad about the bread. But there's something to talk about too.
あおい|はい。ここで はなします。|Yes. We can talk here.
ゆい|きのうの メッセージは みましたか。|Did you see yesterday's message?
あおい|はい。みました。へんじは しませんでした。|Yes. I did. I didn't reply.
ゆい|わたし、なにか しましたか。|Did I do something?
あおい|いいえ。ゆいは なにも しませんでした。|No. You didn't do anything.
ゆい|じゃ、どうしてですか。|Then why?
あおい|じぶんの ことだけでした。ごめんなさい。|I was thinking only of myself. I'm sorry.
ゆい|きょうは べつの あおいですね。|You're a different Aoi today.
あおい|おなじ あおいです。たぶん。|I'm the same Aoi. Probably.
ゆい|たぶん？ なまえも かくにんですか。|Probably? Are we checking your name too?
あおい|なまえは あおいです。パンは サービスです。|My name is Aoi. The bread is complimentary.
ゆい|じゃ、わたしは ゆいです。コーヒーは おかねを はらいます。|Then I'm Yui. I'll pay for the coffee.
あおい|ありがとうございます、おきゃくさま。|Thank you, ma'am.
ゆい|ともだちでしょう。|I'm your friend, aren't I?
あおい|はい。ともだちです。|Yes. You are.
ゆい|この ノートは、きょうの プレゼントです。|This notebook is your present today.
あおい|わたしの プレゼントですか。おみせの たんじょうびですよ。|A present for me? It's the cafe's anniversary.
ゆい|おみせの はなしの ノートです。しゃしんも いれます。|It's a notebook for the cafe's story. We'll put photos in it too.
あおい|あたらしい ノートですね。きれいです。|A new notebook. It's lovely.
ゆい|さいしょの ページは、みさきさんです。|The first page is for Misaki.
あおい|おかあさんの はなしは、わたしも しりません。|I don't know Mom's story either.
ゆい|じゃ、きょう ききます。|Then we'll ask today.
あおい|きょうは いそがしいです。よるは どうですか。|She's busy today. How about tonight?
ゆい|よるは だいじょうぶです。しちじ ごろですか。|Tonight is fine. Around seven?
あおい|しちじに ここで。みんなも います。|Here at seven. Everyone will be here too.
ゆい|いいですね。はるくんの しゃしんも ありますか。|Great. Will there be Haru's photos too?
あおい|はい。でも、バターが おおいです。|Yes. But there's a lot of butter.
ゆい|バターも おみせの れきしです。|Butter is part of the cafe's history too.
あおい|そうですね。パンだけじゃありません。|That's true. It isn't just bread.
ゆい|あおい。きょうは ちゃんと はなしましたね。|Aoi. We actually talked today.
あおい|はい。あしたも はなします。|Yes. We'll talk tomorrow too.
@ Yui leaves the notebook open to its blank first page. Aoi writes only 「おかあさん」. She has been so busy protecting her memory of her mother that she has never asked about Misaki's own past. | ノートの さいしょの ページは しろいです。あおいは「おかあさん」と かきます。おかあさんの むかしは、まだ わかりません。
! G025 G026 G027 G018 G035 G041
? What does Yui want besides free bread? | An honest explanation for Aoi's silence.
? What is the notebook for? | Collecting the cafe's story and photographs.

## 07b | A witness with limits | わからない かお | Station bench, before returning
@ Before Aoi leaves the station, Ren reconstructs exactly what he saw. Aoi offers possible details; he refuses to agree to things he does not remember. A train passes loudly during a critical question, requiring a natural repetition. | あおいと れんは ベンチの そばです。れんは あさの ことを はなします。でんしゃの おとが おおきいです。あおいは もういちど ききます。
あおい|その ひとは わかい ひとでしたか。|Was that person young?
れん|わかりません。かおは みませんでした。|I don't know. I didn't see their face.
あおい|かみは ながかったですか。|Was their hair long?
れん|それも わかりません。かさが ありました。|I don't know that either. There was an umbrella.
あおい|こえは おんなの ひとでしたか。|Did the voice sound like a woman's?
れん|こえは ききませんでした。|I didn't hear a voice.
あおい|でも、おんなの ひとですか。|But you said it was a woman?
れん|そう おもいました。でも、わかりません。|That's what I thought. But I don't know.
あおい|すみません。しつもんが おおいですね。|Sorry. I'm asking a lot of questions.
れん|だいじょうぶです。でも、ほんとうの ことだけです。|It's all right. But only what I really know.
あおい|はい。ほんとうの ことだけ。|Yes. Only what you really know.
れん|かさは あおでした。ふくろは しろでした。|The umbrella was blue. The bag was white.
あおい|ふくろは その ひとの てに ありましたか。|Was the bag in that person's hand?
れん|いいえ。ぼくは ベンチの したで みました。|No. I saw it under the bench.
あおい|じゃ、その ひとの ふくろか わかりませんね。|Then we don't know if the bag belonged to that person.
れん|はい。そこは わかりません。|Right. We don't know that.
あおい|わたしは すぐ きめました。まちがいです。|I decided too quickly. That was a mistake.
れん|ぼくも よく まちがいます。|I often get things wrong too.
あおい|はいたつの ばしょですか。|Delivery addresses?
れん|それは あまり まちがえません。ひとの なまえです。|I don't often get those wrong. People's names.
あおい|わたしの なまえは？|What's my name?
れん|あおいさんです。あおい カップの あおいさん。|Aoi. Aoi of the blue cup.
あおい|それは おぼえやすいですね。|That's easy to remember.
れん|ぼくの なまえは？|What's my name?
あおい|バナナさんです。|Mr. Banana.
れん|それは こまります。|That's a problem.
あおい|じょうだんです。れんさん。|I'm joking. Ren.
れん|よかった。あ、じかんです。|Good. Oh, it's time.
あおい|つぎも びょういんですか。|Is your next stop the hospital too?
れん|いいえ。がっこうへ いきます。|No. I'm going to a school.
あおい|ごごは おみせに きますか。|Will you come to the cafe this afternoon?
れん|はい。コーヒーを のみます。|Yes. I'll have coffee.
あおい|パンも あります。バナナじゃありません。|There's bread too. It isn't bananas.
れん|それは いい ニュースです。|That's good news.
あおい|ありがとう。はなしも、ふくろも。|Thank you. For talking, and for the bag.
れん|じゃ、また あとで。ミルクは れいぞうこですよ。|See you later. The milk belongs in the fridge.
@ Aoi writes three separate entries: 「みた」, 「きいた」, 「まだ わからない」. She places the umbrella carrier's identity in the third column. She returns to the cafe carrying milk and fewer assumptions. | あおいは ノートに みっつの ことばを かきます。「みた」「きいた」「まだ わからない」。あおい かさの ひとの なまえは、まだ わかりません。
! G026 G041 G043 G029 G027
? Which detail does Ren know directly? | He saw a blue umbrella and found a white bag under the bench.
? Does he know that the umbrella carrier owned the bag? | No.

## 08b | The other side of a photograph | しゃしんの むこう | Back room, just before midday
@ Haru enlarges the photograph until it becomes blocky. Aoi is tempted to read detail into the blur. Yui, still finishing coffee, shows how cropping out the clock makes the same scene misleading. | はるは しゃしんを おおきく します。かおは はっきり しません。ゆいは とけいの ない しゃしんも みせます。あおいは ふたつを くらべます。
はる|もっと おおきい しゃしんです。どうですか。|Here's a bigger picture. How is it?
あおい|かおは、まだ わかりませんね。|We still can't make out the face.
はる|これは めですか。くちですか。|Is this an eye? A mouth?
ゆい|たぶん、かさの かげです。|Probably the umbrella's shadow.
あおい|わたしは くちだと おもいました。|I thought it was a mouth.
ゆい|ちいさい しゃしんです。むりは だめです。|It's a small image. We can't force it.
はる|この カメラは わるい カメラですか。|Is this a bad camera?
あおい|いいえ。たいせつな しゃしんが あります。|No. We have an important photograph.
ゆい|ぜんぶは わかりません。でも、すこし わかります。|We don't know everything. But we know a little.
あおい|おかあさんは ドアの なか。かさは そと。|Mom is inside the door. The umbrella is outside.
はる|ふうとうは あいだです。だれのですか。|The envelope is between them. Whose is it?
あおい|まだ わかりません。これも たいせつです。|We don't know yet. That matters too.
ゆい|こちらは どうですか。ドアだけです。|What about this version? Only the door.
あおい|おかあさんの てが ありません。|Mom's hand is gone.
ゆい|そうです。でも、おなじ しゃしんです。|Right. But it's the same photograph.
はる|へんな しゃしんです。ぼくのじゃ ありません。|That's a strange picture. It isn't mine.
ゆい|もとの しゃしんも ありますよ。ここです。|The original is still here. Look.
あおい|もとの しゃしんは そのままですね。|The original stays unchanged, right?
ゆい|はい。こちらは コピーです。|Yes. This is a copy.
はる|コピーは いいです。でも、ぼくの なまえも です。|A copy is fine. But my name goes on it too.
あおい|もちろん。カメラの ひとは はるです。|Of course. The photographer is Haru.
ゆい|あとで ノートに いれます。いいですか。|We'll put it in the notebook later. Is that all right?
はる|はい。でも、バターの しゃしんも です。|Yes. But the butter photo too.
あおい|バターは べつの ページです。|The butter gets a separate page.
ゆい|バターの ページは おおきいですね。|The butter page will be large.
はる|いちばん たいせつな ページです。|The most important page.
あおい|この しゃしんの まえは なにですか。|What's the photo before this one?
はる|これです。おねえちゃんの あしです。|This. Your feet.
ゆい|どうして あしですか。|Why her feet?
はる|カメラが したでした。まちがいです。|The camera pointed down. A mistake.
あおい|でも、うしろに とけいが あります。|But there's a clock in the background.
ゆい|ほんとうですね。カメラの じかんと ちがいます。|You're right. It differs from the camera time.
はる|まちがいも ヒントですね。|A mistake can be a clue too.
あおい|はい。でも、まちがいは まちがいです。|Yes. But a mistake is still a mistake.
ゆい|そこは ノートにも かきます。|We'll write that in the notebook too.
はる|ぼくの なまえは、まちがえないで ください。|Please don't get my name wrong.
@ They save the original separately from the crop. Aoi's confidence has shifted from certainty about a suspect to care about what can actually be known. Yui leaves for class, promising to return at seven. | もとの しゃしんと コピーは べつです。あおいは ノートに かきます。ゆいは がっこうへ いきます。しちじに また カフェです。
! G023 G024 G001 G002 G006
? Why is a larger image not necessarily better evidence? | Enlarging it does not restore missing facial detail.
? Which version is preserved? | The original, separately from the cropped copy.

## 09b | Her mother's customer | おかあさんの おきゃくさん | Cafe counter, midday
@ An elderly regular, Nao, buys bread on credit. Aoi initially interprets the blank envelope she brings as another clue. Nao explains its ordinary purpose: small repayments for meals. Misaki has helped more people than Aoi knew. | なおさんは パンを かいます。てには しろい ふうとう。あおいは その ふうとうを みます。なかは、すこしの おかねです。
なお|みさきさん。きょうは ごひゃくえんです。|Misaki. Five hundred yen today.
みさき|ありがとうございます。あわてなくて いいですよ。|Thank you. There's no need to rush.
あおい|その ふうとうは なんですか。|What's that envelope?
なお|パンの おかねです。わたしの パンです。|Money for bread. My bread.
あおい|きょうの パンですか。|Today's bread?
なお|いいえ。まえの パンです。きょうも パンですけど。|No. Bread from before. Though I'm having bread today too.
みさき|きょうは やわらかい パンが あります。|We have soft bread today.
なお|それが いいです。かたい パンは むずかしいです。|That would be good. Hard bread is difficult for me.
あおい|ふたつで いいですか。|Will two be all right?
なお|はい。ひとつは あさ、ひとつは よるです。|Yes. One for morning, one for evening.
あおい|ひるは なにを たべますか。|What do you eat for lunch?
なお|ひるは むすめと たべます。きょうは うれしい ひです。|Lunch with my daughter. It's a happy day.
みさき|よかったですね。おむかえは ここですか。|That's lovely. Is she picking you up here?
なお|はい。じゅうにじはんです。あと すこしです。|Yes. At twelve thirty. Just a little longer.
あおい|こちらで まちますか。いすが あります。|Would you like to wait here? There's a chair.
なお|ありがとう。おかあさんと おなじですね。|Thank you. You're just like your mother.
あおい|いいえ。わたしは まだ なにも しりません。|No. I still don't know anything.
なお|パンの ばしょは しっていますよ。|You know where the bread is.
あおい|それは しっています。ここです。|I know that. Here.
なお|いすの ばしょも しっています。|And you know where the chairs are.
あおい|はい。こちらです。|Yes. This way.
なお|それで、きょうの わたしは たすかります。|And that helps me today.
あおい|そうですか。|Does it?
なお|そうです。おおきい ことだけじゃ ありません。|It does. It isn't only big things that matter.
みさき|おみずは ここです。おちゃも あります。|Water is here. We have tea too.
なお|おみずで だいじょうぶです。ありがとう。|Water is fine. Thank you.
あおい|おかあさん。この ふうとうは どこですか。|Mom. Where does this envelope go?
みさき|こっちの はこです。ぎんこうの とは べつです。|This box. Separate from the bank money.
あおい|べつですね。わかりました。|Separate. Understood.
なお|ふうとうは おなじです。でも、なかは ちがいます。|The envelopes look the same. But what's inside differs.
あおい|はい。ほんとうに そうですね。|Yes. That's very true.
なお|わたしの ふうとうは かるいですよ。|My envelope is light.
みさき|きもちは おもいです。ありがとうございます。|The kindness carries weight. Thank you.
なお|おもい きもちは いやですね。あたたかい、で。|Heavy feelings don't sound nice. Let's say warm.
あおい|あたたかい ふうとうですね。|A warm envelope, then.
なお|そうです。パンも あたたかいです。|Exactly. And the bread is warm too.
@ Nao's daughter arrives and carries her bag. Aoi notices how Misaki watches them leave with relief rather than counting the coins. She labels the repayment box clearly before placing the envelope inside. | なおさんの むすめが きます。おかあさんは ふたりを みます。あおいは はこに なまえを かきます。ふうとうは その はこの なかです。
! G016 G017 G018 G023 G027 G041 G042
? Why is this white envelope unrelated to the suspected missing money? | It is a customer's repayment and belongs in a separate box.
? What does Aoi learn about helping? | Ordinary practical actions can matter without solving the entire mystery.

## 10b | A plan with witnesses | みんなの やくそく | Cafe preparation table, early afternoon
